sample_index,actual_price,predicted_price,residual,abs_error,ape_pct,price_segment,ram_gb,storage_gb,condition_score,screen_size_inch,non_zero_features
5913,62.0,118.17132184801252,-56.17132184801251,56.17132184801251,90.5989062064718,Q5_high,64.0,2048.0,3,16.0,ram_gb=64; storage_gb=2048; screen_size_inch=16; no_info_model=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=8; brand_HP=1; cpu_brand_Intel=1; cpu_family_ord_filled=4; cpu_family_group_Intel Core i=1; cpu_intel_generation_ord=14; cpu_suffix_power_ord_filled=4; gpu_tier_ord_filled=5; warranty_not_activated=1; ram_storage_product_scaled=16; ram_storage_balance=4; memory_storage_score=15.9739; is_mid_memory_storage=1; is_premium_memory_storage=1; brand_segment_business=1
6739,76.9,24.71054523690461,52.1894547630954,52.1894547630954,67.86665118738023,Q5_high,16.0,512.0,3,15.6,ram_gb=16; storage_gb=512; screen_size_inch=15.6; no_info_model=1; no_info_gpu=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=6; brand_Dell=1; cpu_brand_Intel=1; cpu_family_ord_filled=3; cpu_family_group_Intel Core i=1; cpu_intel_generation_ord=10; cpu_suffix_power_ord_filled=3; gpu_tier_ord_filled=-1; warranty_not_activated=1; ram_storage_product_scaled=1; ram_storage_balance=1; memory_storage_score=11.9067; is_mid_memory_storage=1; brand_segment_business=1
7187,50.999,98.31087502299296,-47.31187502299294,47.31187502299294,92.77020142158268,Q5_high,32.0,2048.0,3,17.0,ram_gb=32; storage_gb=2048; screen_size_inch=17; no_info_model=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=8; brand_MSI=1; cpu_brand_Intel=1; cpu_family_ord_filled=4; cpu_family_group_Intel Core i=1; cpu_intel_generation_ord=12; cpu_suffix_power_ord_filled=3; gpu_tier_ord_filled=3; warranty_not_activated=1; ram_storage_product_scaled=8; ram_storage_balance=2; memory_storage_score=14.6181; is_mid_memory_storage=1; is_premium_memory_storage=1; brand_segment_gaming_value=1
6262,110.99,71.04566659741151,39.94433340258848,39.94433340258848,35.98912821208081,Q5_high,128.0,512.0,3,14.0,ram_gb=128; storage_gb=512; screen_size_inch=14; no_info_model=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=8; brand_Apple=1; cpu_brand_Apple=1; cpu_family_ord_filled=3; cpu_family_group_Apple Silicon=1; cpu_apple_core_spec=1; gpu_tier_ord_filled=1; warranty_not_activated=1; ram_storage_product_scaled=8; ram_storage_balance=1; memory_storage_score=15.9599; is_mid_memory_storage=1; brand_segment_premium=1
5661,63.05,98.22076271224545,-35.17076271224545,35.17076271224545,55.78233578468746,Q5_high,32.0,2048.0,3,17.3,ram_gb=32; storage_gb=2048; screen_size_inch=17.3; no_info_model=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=8; brand_MSI=1; cpu_brand_Intel=1; cpu_family_ord_filled=4; cpu_family_group_Intel Core i=1; cpu_intel_generation_ord=12; cpu_suffix_power_ord_filled=3; gpu_tier_ord_filled=3; warranty_not_activated=1; ram_storage_product_scaled=8; ram_storage_balance=2; memory_storage_score=14.6181; is_mid_memory_storage=1; is_premium_memory_storage=1; brand_segment_gaming_value=1
5967,153.29,118.1294049706252,35.160595029374804,35.160595029374804,22.93730512712819,Q5_high,64.0,6144.0,3,18.0,ram_gb=64; storage_gb=6144; screen_size_inch=18; no_info_model=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=8; brand_MSI=1; cpu_brand_Intel=1; cpu_family_ord_filled=4; cpu_family_group_Intel Core Ultra=1; cpu_intel_generation_ord=15; cpu_suffix_power_ord_filled=4; gpu_tier_ord_filled=5; warranty_not_activated=1; ram_storage_product_scaled=48; ram_storage_balance=4; memory_storage_score=17.0722; is_mid_memory_storage=1; is_premium_memory_storage=1; brand_segment_gaming_value=1
7056,86.99,121.5170485443078,-34.52704854430782,34.52704854430782,39.69082485838352,Q5_high,64.0,2048.0,3,16.0,ram_gb=64; storage_gb=2048; screen_size_inch=16; no_info_model=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=8; brand_ASUS=1; cpu_brand_Intel=1; cpu_family_ord_filled=4; cpu_family_group_Intel Core i=1; cpu_intel_generation_ord=14; cpu_suffix_power_ord_filled=4; gpu_tier_ord_filled=4; warranty_not_activated=1; ram_storage_product_scaled=16; ram_storage_balance=4; memory_storage_score=15.9739; is_mid_memory_storage=1; is_premium_memory_storage=1; brand_segment_gaming_value=1
6501,58.899,26.890328310939225,32.008671689060776,32.008671689060776,54.34501721431735,Q5_high,16.0,512.0,3,14.0,ram_gb=16; storage_gb=512; screen_size_inch=14; no_info_model=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=6; brand_Lenovo=1; cpu_brand_Intel=1; cpu_family_ord_filled=3; cpu_family_group_Intel Core i=1; cpu_intel_generation_ord=13; warranty_not_activated=1; ram_storage_product_scaled=1; ram_storage_balance=1; memory_storage_score=11.9067; is_mid_memory_storage=1; brand_segment_business=1
5786,35.9,67.42398882367965,-31.52398882367965,31.52398882367965,87.81055382640572,Q5_high,32.0,0.0,3,16.0,ram_gb=32; screen_size_inch=16; storage_missing=1; no_info_brand=1; no_info_model=1; no_info_storage=1; condition_score=3; cpu_tier_encoded=6; cpu_brand_Intel=1; cpu_family_ord_filled=3; cpu_family_group_Intel Core i=1; cpu_intel_generation_ord=12; cpu_suffix_power_ord_filled=4; gpu_tier_ord_filled=3; warranty_not_activated=1; memory_storage_score=6.99302
7029,73.99,43.004581711906745,30.98541828809325,30.98541828809325,41.87784604418604,Q5_high,32.0,1024.0,3,16.0,ram_gb=32; storage_gb=1024; screen_size_inch=16; no_info_model=1; storage_ssd=1; condition_score=3; cpu_tier_encoded=8; brand_Dell=1; cpu_brand_Intel=1; cpu_family_ord_filled=4; cpu_family_group_Intel Core i=1; cpu_intel_generation_ord=13; cpu_suffix_power_ord_filled=4; gpu_tier_ord_filled=4; warranty_not_activated=1; ram_storage_product_scaled=4; ram_storage_balance=2; memory_storage_score=13.9255; is_mid_memory_storage=1; is_premium_memory_storage=1; brand_segment_business=1
